"SAPCE1 Personal consumption expenditures (PCE) by major type of product 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2020"
"00000","United States","1","Personal consumption expenditures",14047565
"00000","United States","2","  Goods",4653822
"00000","United States","3","    Durable goods",1616408
"00000","United States","4","      Motor vehicles and parts",541265
"00000","United States","5","      Furnishings and durable household equipment",390382
"00000","United States","6","      Recreational goods and vehicles",476217
"00000","United States","7","      Other durable goods",208545
"00000","United States","8","    Nondurable goods",3037413
"00000","United States","9","      Food and beverages purchased for off-premises consumption",1146676
"00000","United States","10","      Clothing and footwear",362435
"00000","United States","11","      Gasoline and other energy goods",246757
"00000","United States","12","      Other nondurable goods",1281545
"00000","United States","13","  Services",9393744
"00000","United States","14","    Household consumption expenditures (for services)",8872868
"00000","United States","15","      Housing and utilities",2668144
"00000","United States","16","      Health care",2308401
"00000","United States","17","      Transportation services",363441
"00000","United States","18","      Recreation services",416512
"00000","United States","19","      Food services and accommodations",801547
"00000","United States","20","      Financial services and insurance",1196283
"00000","United States","21","      Other services",1118540
"00000","United States","22","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)",520876
"00000","United States","23","      Gross output of nonprofit institutions",1644766
"00000","United States","24","      Less: Receipts from sales of goods and services by nonprofit institutions",1123890
"01000","Alabama","1","Personal consumption expenditures",176479.8
"01000","Alabama","2","  Goods",65664.5
"01000","Alabama","3","    Durable goods",21400.5
"01000","Alabama","4","      Motor vehicles and parts",8813.5
"01000","Alabama","5","      Furnishings and durable household equipment",5145.5
"01000","Alabama","6","      Recreational goods and vehicles",4995.4
"01000","Alabama","7","      Other durable goods",2446.1
"01000","Alabama","8","    Nondurable goods",44264.0
"01000","Alabama","9","      Food and beverages purchased for off-premises consumption",15383.7
"01000","Alabama","10","      Clothing and footwear",4861.0
"01000","Alabama","11","      Gasoline and other energy goods",3875.2
"01000","Alabama","12","      Other nondurable goods",20144.1
"01000","Alabama","13","  Services",110815.3
"01000","Alabama","14","    Household consumption expenditures (for services)",106781.9
"01000","Alabama","15","      Housing and utilities",32167.3
"01000","Alabama","16","      Health care",29057.6
"01000","Alabama","17","      Transportation services",3518.8
"01000","Alabama","18","      Recreation services",3880.2
"01000","Alabama","19","      Food services and accommodations",10505.3
"01000","Alabama","20","      Financial services and insurance",13448.0
"01000","Alabama","21","      Other services",14204.6
