Bedrooms,Bathrooms,Size,Type,Price,City,State,perSqFt,Region
8.0,4.0,3264.0,Multifamily,459900.0,Anchorage,AK,140.90073529411765,West
2.0,1.0,778.0,Condo,89900.0,Anchorage,AK,115.55269922879178,West
8.0,4.0,3880.0,Multifamily,590000.0,Eagle River,AK,152.06185567010309,West
6.0,5.0,4640.0,House,589900.0,Chugiak,AK,127.13362068965517,West
2.0,2.0,1152.0,Condo,184000.0,Anchorage,AK,159.72222222222223,West
3.0,2.0,1648.0,House,214900.0,Eagle River,AK,130.4004854368932,West
3.0,1.0,1040.0,House,205000.0,Anchorage,AK,197.1153846153846,West
2.0,2.0,1024.0,Condo,183000.0,Anchorage,AK,178.7109375,West
6.0,5.0,2984.0,Multifamily,334500.0,Anchorage,AK,112.09785522788204,West
2.0,1.0,836.0,House,140000.0,Anchorage,AK,167.4641148325359,West
2.0,1.0,760.0,Condo,140000.0,Anchorage,AK,184.21052631578948,West
8.0,4.0,3592.0,Multifamily,334000.0,Anchorage,AK,92.98440979955457,West
3.0,2.0,830.0,House,165000.0,Anchorage,AK,198.79518072289156,West
3.0,2.0,1509.0,House,335000.0,Anchorage,AK,222.00132538104705,West
5.0,4.0,2324.0,House,420000.0,Anchorage,AK,180.72289156626505,West
5.0,4.0,3380.0,Multifamily,289900.0,Anchorage,AK,85.76923076923077,West
2.0,2.0,1233.0,Condo,232000.0,Eagle River,AK,188.15896188158962,West
2.0,1.0,786.0,Condo,119900.0,Anchorage,AK,152.5445292620865,West
2.0,1.0,880.0,Condo,199000.0,Anchorage,AK,226.13636363636363,West
5.0,4.0,3864.0,House,699000.0,Eagle River,AK,180.90062111801242,West
3.0,2.0,1188.0,Condo,214900.0,Anchorage,AK,180.8922558922559,West
3.0,3.0,2563.0,Condo,595000.0,Anchorage,AK,232.14982442450253,West
2.0,1.0,815.0,Condo,89500.0,Anchorage,AK,109.8159509202454,West
5.0,3.0,3152.0,House,499900.0,Anchorage,AK,158.5977157360406,West
2.0,1.0,923.0,Condo,119900.0,Anchorage,AK,129.90249187432286,West
4.0,2.0,2108.0,House,420000.0,Anchorage,AK,199.24098671726756,West
3.0,3.0,1685.0,Condo,199000.0,Anchorage,AK,118.10089020771514,West
4.0,3.0,1680.0,House,335000.0,Anchorage,AK,199.4047619047619,West
2.0,2.0,1610.0,House,399000.0,Anchorage,AK,247.82608695652175,West
9.0,5.0,6672.0,Multifamily,499900.0,Anchorage,AK,74.92505995203837,West
14.0,8.0,6540.0,Multifamily,699000.0,Eagle River,AK,106.88073394495413,West
4.0,2.0,1664.0,House,290000.0,Anchorage,AK,174.27884615384616,West
3.0,3.0,1588.0,House,234900.0,Anchorage,AK,147.92191435768262,West
2.0,2.0,991.0,Condo,139900.0,Anchorage,AK,141.17053481331988,West
3.0,3.0,1188.0,Condo,215000.0,Anchorage,AK,180.97643097643098,West
3.0,1.0,1005.0,Condo,139900.0,Anchorage,AK,139.20398009950247,West
2.0,1.0,990.0,Condo,205000.0,Anchorage,AK,207.07070707070707,West
5.0,3.0,2838.0,House,580000.0,Anchorage,AK,204.369274136716,West
4.0,3.0,2302.0,House,580000.0,Anchorage,AK,251.95482189400522,West
3.0,3.0,2190.0,House,445000.0,Anchorage,AK,203.19634703196348,West
2.0,1.0,830.0,Condo,166000.0,Anchorage,AK,200.0,West
3.0,2.0,2688.0,House,249000.0,Anchorage,AK,92.63392857142857,West
3.0,4.0,1907.0,House,329900.0,Anchorage,AK,172.99423177766124,West
5.0,2.0,1965.0,Multifamily,445000.0,Anchorage,AK,226.46310432569973,West
2.0,2.0,1152.0,House,295000.0,Anchorage,AK,256.0763888888889,West
2.0,3.0,1615.0,Condo,329500.0,Eagle River,AK,204.0247678018576,West
2.0,1.0,865.0,Condo,89900.0,Anchorage,AK,103.9306358381503,West
6.0,5.0,4524.0,Multifamily,581000.0,Chugiak,AK,128.4261715296198,West
16.0,8.0,7560.0,Multifamily,500000.0,Anchorage,AK,66.13756613756614,West
2.0,1.0,791.0,Condo,99000.0,Anchorage,AK,125.15802781289507,West
3.0,2.0,1232.0,Condo,165000.0,Anchorage,AK,133.92857142857142,West
16.0,6.0,6480.0,Multifamily,449000.0,Anchorage,AK,69.29012345679013,West
4.0,3.0,3120.0,House,585000.0,Anchorage,AK,187.5,West
4.0,3.0,2500.0,House,500000.0,Anchorage,AK,200.0,West
6.0,3.0,2640.0,Multifamily,420000.0,Anchorage,AK,159.0909090909091,West
6.0,4.0,3456.0,Multifamily,500000.0,Anchorage,AK,144.67592592592592,West
3.0,1.0,960.0,House,205000.0,Anchorage,AK,213.54166666666666,West
3.0,2.0,1792.0,House,330000.0,Eagle River,AK,184.15178571428572,West
2.0,1.0,992.0,House,120000.0,Anchorage,AK,120.96774193548387,West
5.0,3.0,3360.0,House,585000.0,Anchorage,AK,174.10714285714286,West
3.0,2.0,1480.0,Townhouse,292000.0,Eagle River,AK,197.2972972972973,West
4.0,2.0,1144.0,Multifamily,235000.0,Anchorage,AK,205.41958041958043,West
3.0,3.0,2320.0,Condo,235000.0,Anchorage,AK,101.29310344827586,West
5.0,4.0,3724.0,House,709000.0,Anchorage,AK,190.38668098818474,West
4.0,4.0,4740.0,House,710000.0,Anchorage,AK,149.78902953586498,West
11.0,6.0,4104.0,Multifamily,510000.0,Anchorage,AK,124.26900584795321,West
3.0,3.0,1416.0,Condo,199000.0,Anchorage,AK,140.5367231638418,West
3.0,2.0,1200.0,Multifamily,187500.0,Anchorage,AK,156.25,West
3.0,2.0,1782.0,House,419000.0,Anchorage,AK,235.1290684624018,West
21.0,15.0,10840.0,Multifamily,875000.0,Anchorage,AK,80.71955719557195,West
4.0,3.0,1770.0,House,345000.0,Anchorage,AK,194.91525423728814,West
2.0,2.0,1663.0,Condo,229900.0,Anchorage,AK,138.24413710162358,West
4.0,2.0,1270.0,House,229900.0,Anchorage,AK,181.0236220472441,West
4.0,3.0,2114.0,House,492500.0,Eagle River,AK,232.97067171239357,West
3.0,3.0,2198.0,House,449900.0,Anchorage,AK,204.68607825295723,West
4.0,2.0,1728.0,Multifamily,344300.0,Anchorage,AK,199.2476851851852,West
2.0,1.0,908.0,Condo,115000.0,Anchorage,AK,126.65198237885463,West
2.0,2.0,1094.0,Condo,206000.0,Anchorage,AK,188.2998171846435,West
9.0,4.0,3834.0,Multifamily,280000.0,Anchorage,AK,73.03077725612937,West
3.0,3.0,2005.0,Condo,419900.0,Anchorage,AK,209.42643391521196,West
2.0,2.0,1872.0,House,249999.0,Anchorage,AK,133.54647435897436,West
3.0,2.0,1108.0,Condo,185000.0,Anchorage,AK,166.96750902527077,West
2.0,2.0,1178.0,Condo,147500.0,Anchorage,AK,125.21222410865875,West
3.0,3.0,1600.0,Condo,279900.0,Anchorage,AK,174.9375,West
4.0,3.0,3884.0,House,605000.0,Anchorage,AK,155.76725025746654,West
7.0,4.0,3162.0,Multifamily,485000.0,Eagle River,AK,153.38393421884882,West
4.0,4.0,3398.0,House,675000.0,Anchorage,AK,198.64626250735728,West
3.0,3.0,2104.0,Condo,279000.0,Anchorage,AK,132.6045627376426,West
3.0,3.0,1861.0,Condo,279000.0,Anchorage,AK,149.91939817302526,West
9.0,4.0,3792.0,Multifamily,399900.0,Anchorage,AK,105.45886075949367,West
12.0,4.0,4680.0,Multifamily,485000.0,Anchorage,AK,103.63247863247864,West
2.0,1.0,835.0,Condo,149000.0,Anchorage,AK,178.4431137724551,West
3.0,1.0,1107.0,House,149000.0,Anchorage,AK,134.59801264679314,West
3.0,3.0,2443.0,House,485000.0,Eagle River,AK,198.52640196479737,West
2.0,2.0,1152.0,Condo,189000.0,Anchorage,AK,164.0625,West
3.0,2.0,1360.0,House,279500.0,Anchorage,AK,205.51470588235293,West
3.0,3.0,1506.0,Condo,250000.0,Anchorage,AK,166.00265604249668,West
2.0,1.0,760.0,Condo,148000.0,Anchorage,AK,194.73684210526315,West
2.0,1.0,842.0,Condo,148000.0,Anchorage,AK,175.77197149643706,West
11.0,6.0,4524.0,Multifamily,450000.0,Anchorage,AK,99.46949602122015,West
2.0,2.0,1187.0,Condo,130000.0,Anchorage,AK,109.51979780960404,West
15.0,16.0,7536.0,Multifamily,990000.0,Anchorage,AK,131.36942675159236,West
2.0,1.0,633.0,Condo,185000.0,Anchorage,AK,292.25908372827803,West
4.0,3.0,2087.0,Condo,339000.0,Anchorage,AK,162.43411595591758,West
4.0,4.0,3705.0,House,695000.0,Anchorage,AK,187.58434547908232,West
2.0,1.0,853.0,Condo,145000.0,Anchorage,AK,169.98827667057444,West
4.0,1.0,3772.0,House,850000.0,Anchorage,AK,225.34464475079534,West
3.0,2.0,1308.0,Condo,199000.0,Anchorage,AK,152.14067278287462,West
2.0,1.0,829.0,Condo,89000.0,Anchorage,AK,107.35826296743063,West
2.0,2.0,898.0,Condo,164500.0,Anchorage,AK,183.184855233853,West
4.0,2.0,1824.0,Condo,339000.0,Anchorage,AK,185.85526315789474,West
9.0,4.0,3456.0,Multifamily,399000.0,Anchorage,AK,115.45138888888889,West
2.0,2.0,977.0,Condo,164900.0,Anchorage,AK,168.78198567041966,West
2.0,2.0,1078.0,Condo,164900.0,Anchorage,AK,152.96846011131726,West
2.0,2.0,1081.0,Condo,205000.0,Anchorage,AK,189.63922294172062,West
12.0,6.0,5673.0,Multifamily,596000.0,Anchorage,AK,105.05905164815795,West
