fullState,GDP,Spending,Population,Income,State,Bathrooms,Bedrooms,Price,Size,perSqFt,HouseCount,Region,SavingsRate
Alabama,196906.1,176479.8,4934193,228748.8,AL,2.616591928251121,3.3800448430493275,305048.8890134529,2319.2959641255607,124.37276569222938,892,South,0.22849955934195065
Alaska,50161.0,35635.7,724357,46430.3,AK,2.967741935483871,4.58560794044665,363202.3995037221,2392.8411910669975,165.5354208571672,403,West,0.23249042112585974
Arizona,320550.6,287090.1,7520103,368458.6,AZ,2.509259259259259,3.3368368368368366,466962.45795795793,2070.787287287287,224.65603119781412,1998,West,0.22083485091676516
Arkansas,114943.5,104488.8,3033946,143147.9,AR,2.9571428571428573,3.642857142857143,337014.72857142857,2804.807142857143,117.70589346753363,280,South,0.27006403866211093
California,2663665.9,1835980.6,39613493,2763312.0,CA,2.5643433988764044,3.442942415730337,776273.3695575843,1965.2382373595506,424.08868464509834,5696,West,0.33558693336112605
Colorado,346011.3,270883.0,5893634,370392.1,CO,2.6354916067146283,3.2553956834532376,581882.0371702638,2114.609112709832,289.84517255428267,834,West,0.26865880778774703
Connecticut,235888.6,179405.9,3552821,279612.4,CT,2.5689655172413794,4.145320197044335,365254.43596059113,2359.92118226601,177.03784741185996,406,North,0.35837645254645367
Delaware,62056.2,44834.5,990334,55357.4,DE,1.8279569892473118,3.10752688172043,192903.09677419355,1537.8602150537633,121.22983237460943,93,South,0.19009021377449087
District of Columbia,122342.1,46453.6,714153,61706.1,DC,2.4705882352941178,2.784313725490196,732301.2058823529,1525.0588235294117,500.22101783197627,102,North,0.24717977639163713
Florida,944000.8,947905.9,21944577,1209995.9,FL,2.2844800987349583,2.9379821042887997,322036.58870718913,1596.695155816106,201.7400300241717,3241,South,0.21660403973269654
Georgia,536693.0,408752.8,10830007,554566.5,GA,2.414570685169124,3.315698178664354,253325.039028621,1969.0659150043366,125.18363924227256,1153,South,0.2629327591911881
Idaho,73655.4,64780.6,1860123,89077.7,ID,2.75,3.9134615384615383,571593.2211538461,2321.7403846153848,253.86525374550536,104,West,0.2727629923089617
Illinois,737643.6,553611.6,12569321,792135.5,IL,2.2372188139059306,2.992501704158146,268614.69120654394,1756.186775732788,159.47868993508135,1467,MidWest,0.3011150238816465
Indiana,329863.3,257343.1,6805663,350759.5,IN,2.1292929292929292,3.090909090909091,216826.91818181818,2076.2818181818184,98.88048771426722,990,MidWest,0.2663260724228424
Iowa,169420.3,118904.6,3167974,169181.6,IA,1.9487179487179487,3.128205128205128,149252.38461538462,1686.965811965812,90.79638352372238,117,MidWest,0.2971777072684027
Kansas,156770.1,113185.3,2917224,163462.2,KS,2.5547703180212014,3.409893992932862,259040.18727915196,2287.5300353356893,108.6214810538855,283,MidWest,0.30757508463730454
Kentucky,185535.1,163749.9,4480713,211947.6,KY,2.7673130193905817,3.3240997229916895,394384.45983379503,2387.6537396121885,165.15281441840318,361,South,0.22740384887585427
Louisiana,222296.8,173521.0,4627002,236327.2,LA,2.315294117647059,3.28,281259.06588235294,2040.9505882352942,123.7359812610263,425,South,0.2657595063115884
Maine,58757.3,61123.8,1354522,73192.8,ME,2.142857142857143,2.8333333333333335,713430.8571428572,1673.857142857143,437.1196053520755,42,North,0.1648932681903138
Maryland,353052.5,268456.8,6065436,404520.7,MD,2.281188118811881,2.98019801980198,240832.78811881188,1577.9108910891089,157.61238927960144,505,South,0.33635831244235465
Massachusetts,498577.0,358472.3,6912239,540855.3,MA,2.3891487371375115,3.4667913938260058,800687.6361085126,1845.4181478016837,501.02969417387783,1069,North,0.3372121896559025
Michigan,445682.6,411364.2,9992427,530808.6,MI,1.8117106773823193,3.1251435132032146,142267.57060849597,1587.6934557979334,86.4238515605724,871,MidWest,0.22502348304077963
Minnesota,326635.6,251204.7,5706398,350784.7,MN,2.1757075471698113,3.108490566037736,369010.6804245283,1850.6933962264152,205.52413371083756,848,MidWest,0.2838778316158031
Mississippi,99667.5,95998.3,2966407,124988.2,MS,2.2872340425531914,3.2952127659574466,181302.03191489363,1907.25,90.56402687658017,376,South,0.23194109523939055
Missouri,282654.2,246053.1,6169038,318019.1,MO,2.2332361516034984,2.9679300291545188,238783.3527696793,1944.3061224489795,123.42954321065523,343,MidWest,0.22629458419321347
Montana,46158.1,45719.5,1085004,57660.2,MT,2.481818181818182,3.4545454545454546,417416.8090909091,2464.1545454545453,168.73653664495157,110,West,0.20708738436564558
Nebraska,117664.9,79713.9,1951996,111545.0,NE,2.454887218045113,3.3796992481203008,276671.75563909777,2150.4924812030076,127.82344638493124,266,MidWest,0.2853655475368686
Nevada,145219.1,123053.7,3185786,168587.3,NV,2.7109458023379385,3.3209351753453773,400673.0531349628,1999.4739638682254,202.44231258367364,941,West,0.2700891466913581
New Jersey,535794.9,446078.4,8874520,652498.9,NJ,2.35722460658083,4.011444921316166,386702.32474964234,3455.8555078683835,224.85003846224825,699,North,0.316353790021715
